City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
169,Sao Filipe,CV,71.51,overcast clouds,14.8961,-24.4956,Tortuga B&B
170,Yeppoon,AU,82.4,few clouds,-23.1333,150.7333,Villa Mar Colina
171,Dwarka,IN,68.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
174,Diffa,NE,67.96,clear sky,13.3154,12.6113,ProDAF/Diffa
176,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
178,Emerald,AU,81.0,overcast clouds,-23.5333,148.1667,The Irish Village
179,San Quintin,MX,60.57,broken clouds,30.4833,-115.95,Old Mill Hotel
180,San Andres,CO,78.8,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
181,Sao Miguel Do Araguaia,BR,77.27,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
182,Katsuura,JP,45.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
183,Kassala,SD,67.01,clear sky,15.450999999999999,36.4,Amassi Hotel Gash
185,Hermanus,ZA,68.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
186,Culebra,PR,75.2,scattered clouds,18.303,-65.301,Palmetto Guesthouse
188,Aloleng,PH,77.49,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
189,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
191,Cockburn Town,TC,74.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
192,Pinheiro Machado,BR,62.01,few clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
193,Maragogi,BR,78.58,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
195,Mount Isa,AU,87.8,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
196,Anori,BR,76.89,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
197,Caravelas,BR,77.59,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
199,Bubaque,GW,77.59,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Sangmelima,CM,70.29,clear sky,2.9333,11.9833,gamestar hotel
202,Esperance,AU,59.0,scattered clouds,-33.8667,121.9,Hospitality Esperance
203,Cacoal,BR,77.27,overcast clouds,-11.4386,-61.4472,Hotel BR 364
206,Kongolo,CD,70.02,broken clouds,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
207,Dingle,PH,78.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
210,Harare,ZW,64.0,broken clouds,-17.8294,31.0539,Fife Avenue Hotel
211,Arona,ES,61.0,few clouds,28.0996,-16.680999999999997,Paradise Court
212,Sampit,ID,74.97,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
213,Kalmunai,LK,76.08,overcast clouds,7.4167,81.8167,VS Villa
214,Alofi,NU,82.4,broken clouds,-19.0595,-169.9187,Taloa Heights
219,Bereda,ES,46.99,overcast clouds,43.2686,-7.5406,Pazo de Verdes
222,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
224,Kavaratti,IN,80.76,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
225,Neuquen,AR,93.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
230,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
231,Daru,PG,84.79,broken clouds,-9.0763,143.2092,Daru Lodge
232,Sabya,SA,75.2,clear sky,17.1495,42.6254,Aseel Hotel Apartment
233,Meulaboh,ID,75.27,scattered clouds,4.1363,96.1285,Kost Pria
234,Mattru,SL,75.69,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
236,Rio Das Ostras,BR,77.49,clear sky,-22.5269,-41.945,Pousada Girassol
237,East London,ZA,72.91,overcast clouds,-33.0153,27.9116,Tu Casa
239,Guerrero Negro,MX,63.36,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
240,Pochutla,MX,79.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
242,Samarai,PG,84.15,scattered clouds,-10.6167,150.6667,Nuli Sapi
243,Port Augusta,AU,64.4,clear sky,-32.5,137.7667,Majestic Oasis Apartments
245,Champerico,GT,82.4,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
246,Koregaon,IN,64.27,broken clouds,18.65,74.0833,hotel nisarg lounge
248,Sibolga,ID,74.64,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
249,Constitucion,CL,60.75,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
251,Edea,CM,78.8,scattered clouds,3.8,10.1333,Micotel Hotel
255,Belawan,ID,75.2,mist,3.7755,98.6832,Lilik Hidayat Pulungan
260,Riyadh,SA,64.4,clear sky,24.6877,46.7219,InterContinental Riyadh
262,Nara,JP,43.0,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
265,Ternate,ID,81.7,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
266,Carnarvon,AU,79.23,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
267,Alyangula,AU,82.4,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
268,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Kavieng,PG,83.8,moderate rain,-2.5744,150.7967,Nusa Island Retreat
272,Sanming,CN,57.06,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
273,Tomatlan,MX,81.16,clear sky,19.9333,-105.25,Norma franco
274,Portland,US,46.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
275,Rassvet,RU,47.68,light rain,46.8333,40.75,Gostinitsa
276,Manica,FR,44.6,overcast clouds,49.0,-1.1667,Gite Lily
278,Bonga,ET,61.11,clear sky,7.2833,36.2333,Noona Noona Hotel
282,Gizo,SB,85.53,scattered clouds,-8.103,156.8419,Imagination Island
